epoch,train_loss,val_mae,val_rmse,val_mape,learning_rate,timestamp
1,0.2902829521834248,4.325359174562708,9.477125345263081,11.523466867044533,0.001,2026-01-24T16:11:47.436208
2,0.24482784442829364,4.128954220220696,9.227714834476291,10.486596592421678,0.001,2026-01-24T16:12:58.023230
3,0.23703783497665867,4.127453296818093,9.206020738667553,10.114441950978579,0.001,2026-01-24T16:14:02.233376
4,0.23376412215557965,4.096994628928842,9.080132414165094,10.001294195893513,0.001,2026-01-24T16:15:16.719950
5,0.2310969640359734,4.074300033239847,9.143035817300444,10.580951481071367,0.001,2026-01-24T16:16:28.286338
6,0.22867093783135367,4.0703443823982965,9.007674561519298,10.493205497186723,0.001,2026-01-24T16:17:27.150727
7,0.22794564182710167,4.035060084458716,9.003687197330324,10.202185002960041,0.001,2026-01-24T16:18:30.482738
8,0.22960931603053603,4.038185017316897,9.049903883730932,10.20318824558341,0.001,2026-01-24T16:19:31.430726
9,0.2251422039487145,4.026561437882871,9.066730837691242,10.081788312318148,0.001,2026-01-24T16:20:39.342158
10,0.22571188906828563,4.058212456167614,9.080083416023795,10.510056269777419,0.001,2026-01-24T16:21:37.943402
11,0.22732255863721926,4.11897435082406,9.209536561616678,10.186384963998156,0.001,2026-01-24T16:22:46.695575
12,0.22503604792585277,4.191168098973702,9.350677302826238,10.369969745154211,0.001,2026-01-24T16:23:58.297159
13,0.22435861467713059,4.049720552824071,8.983404346847829,10.079931629690813,0.001,2026-01-24T16:25:06.081623
14,0.22426444499781636,4.025943889321092,9.012387776648634,10.356668071674706,0.001,2026-01-24T16:26:12.588000
15,0.22332646660130434,3.991188803130905,9.027995464475657,10.263447436985349,0.001,2026-01-24T16:27:14.850862
16,0.22348430578154746,4.0050234063248755,9.024481356122497,9.906869573115602,0.001,2026-01-24T16:28:23.515469
17,0.22366499542587936,4.012025417032581,8.908513353305255,9.936161563224996,0.001,2026-01-24T16:29:28.786306
